status_code,history,alias,site,error,years
200,[<Response [302]>],https://banff.ca/AgendaCenter,http://ab-banff.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.beaumont.ab.ca/AgendaCenter,http://ab-beaumont.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://md.bonnyville.ab.ca/AgendaCenter,http://ab-bonnyville.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.brooks.ca/AgendaCenter,http://ab-brooks.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.chestermere.ca/AgendaCenter,http://ab-chestermere.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cochrane.ca/AgendaCenter,http://ab-cochrane.civicplus.com/AgendaCenter,,True
200,,,http://ab-highlevel.civicplus.com/AgendaCenter,,True
200,,,http://ab-hintoncommunity.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://kneehillcounty.com/AgendaCenter,http://ab-kneehillcounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.mdbighorn.ca/AgendaCenter,http://ab-mdbighorn.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.nanton.ca/AgendaCenter,http://ab-nanton.civicplus.com/AgendaCenter,,True
403,,,http://ab-rockymountainhouse.civicplus.com/AgendaCenter,,False
200,[<Response [302]>],https://www.slavelake.ca/AgendaCenter,http://ab-slavelake.civicplus.com/AgendaCenter,,True
200,,,http://ab-stettlercounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofalabaster.com/AgendaCenter,http://al-alabaster.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.athensalabama.us/AgendaCenter,http://al-athens.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofboaz.org/AgendaCenter,http://al-boaz.civicplus.com/AgendaCenter,,True
200,,,http://al-calera.civicplus.com/AgendaCenter,,True
200,,,http://al-coffeecounty.civicplus.com/AgendaCenter,,True
200,,,http://al-daphne.civicplus.com/AgendaCenter,,True
200,,,http://al-dothan.civicplus.com/AgendaCenter,,True
200,,,http://al-gadsden.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.gulfshoresal.gov/AgendaCenter,http://al-gulfshores.civicplus.com/AgendaCenter,,True
200,,,http://al-hoover.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.jacksoncountyal.gov/AgendaCenter,http://al-jacksoncounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.opelika-al.gov/AgendaCenter,http://al-opelika.civicplus.com/AgendaCenter,,True
200,,,http://al-shelbycounty.civicplus.com/AgendaCenter,,True
200,,,http://al-stclaircounty.civicplus.com/AgendaCenter,,True
200,,,http://ar-bentonville.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofbryant.com/AgendaCenter,http://ar-bryant2.civicplus.com/AgendaCenter,,True
200,,,http://ar-clarksvillelwc.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.garlandcounty.org/AgendaCenter,http://ar-garlandcounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityhs.net/AgendaCenter,http://ar-hotsprings.civicplus.com/AgendaCenter,,True
200,,,http://ar-jacksonville.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.maumelle.org/AgendaCenter,http://ar-maumelle.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.nlrha.org/AgendaCenter,http://ar-nlrha.civicplus.com/AgendaCenter,,True
404,,,http://ar-rogers.civicplus.com/AgendaCenter,,False
200,,,http://ar-russellville.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofsherwood.net/AgendaCenter,http://ar-sherwood.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.siloamsprings.com/AgendaCenter,http://ar-siloamsprings.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.springdalear.gov/AgendaCenter,http://ar-springdale.civicplus.com/AgendaCenter,,True
200,,,http://ar-vanburen.civicplus.com/AgendaCenter,,True
200,,,http://az-bisbee.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.blackstonehoa.net/AgendaCenter,http://az-blackstoneatvistancia.civicplus.com/AgendaCenter,,True
200,,,http://az-carefree.civicplus.com/AgendaCenter,,True
200,,,http://az-chinovalley.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://coconino.az.gov/AgendaCenter,http://az-coconinocounty.civicplus.com/AgendaCenter,,True
200,,,http://az-cottonwood.civicplus.com/AgendaCenter,,True
200,,,http://az-douglas.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://eloyaz.gov/AgendaCenter,http://az-eloy.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.flagstaff.az.gov/AgendaCenter,http://az-flagstaff2.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.fh.az.gov/AgendaCenter,http://az-fountainhills.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.gilabendaz.org/AgendaCenter,http://az-gilabend2.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.graham.az.gov/AgendaCenter,http://az-grahamcounty.civicplus.com/AgendaCenter,,True
200,,,http://az-grayhawkcommunityassociation.civicplus.com/AgendaCenter,,True
200,,,http://az-lapazcounty.civicplus.com/AgendaCenter,,True
200,,,http://az-litchfieldpark.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://az-maricopacounty.civicplus.com/AgendaCenter,http://az-maricopacounty.civicplus.com/AgendaCenter,,True
200,[<Response [301]>],https://az-maricopacountyattorney.civicplus.com/AgendaCenter,http://az-maricopacountyattorney.civicplus.com/AgendaCenter,,True
200,,,http://az-pinetoplakeside.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.mypowerranch.com/AgendaCenter,http://az-powerranchcommunityassociation.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.pvaz.net/AgendaCenter,http://az-prescottvalley.civicplus.com/AgendaCenter,,True
200,,,http://az-safford.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.sanluisaz.gov/AgendaCenter,http://az-sanluis.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.santacruzcountyaz.gov/AgendaCenter,http://az-santacruzcounty.civicplus.com/AgendaCenter,,True
200,,,http://az-showlow.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.surpriseaz.gov/AgendaCenter,http://az-surprise.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.myvistancia.com/AgendaCenter,http://az-villageatvistancia.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.highlands.ca/AgendaCenter,http://bc-highlands.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.mapleridge.ca/AgendaCenter,http://bc-mapleridge.civicplus.com/AgendaCenter,,True
200,,,http://bc-nelson.civicplus.com/AgendaCenter,,True
200,,,http://bc-salmonarm.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.whiterockcity.ca/AgendaCenter,http://bc-whiterock.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.ci.adelanto.ca.us/AgendaCenter,http://ca-adelanto.civicplus.com/AgendaCenter,,True
,,,http://ca-alamedacountywater.civicplus.com/AgendaCenter,'NoneType' object has no attribute 'span',
200,,,http://ca-alpinecounty.civicplus.com/AgendaCenter,,True
200,,,http://ca-anaheim.civicplus.com/AgendaCenter,,True
200,,,http://ca-arroyogrande.civicplus.com/AgendaCenter,,True
200,,,http://ca-artesia.civicplus.com/AgendaCenter,,True
